ID_Venta,Fecha,Mes,Mes_Nombre,Trimestre,Día_Semana,ID_Cliente,Cliente,Tipo_Cliente,Ruta,Municipio,Zona,Vendedor,Producto,Categoría,Cantidad_Cajas,Precio_Caja,Costo_Caja,Descuento_%,Precio_Final,Total_Venta,Costo_Total,Utilidad
V00001,2023-01-02,1,January,T1,Monday,C055,Minimercado El Rincón,Minimercado,Ruta La Unión,La Unión,Vereda La Victoria,Jhon Pérez,Agua Cristal 1.5L x12,Agua,2,28000,19000,0,28000.0,56000.0,38000,18000.0
V00002,2023-01-02,1,January,T1,Monday,C024,Superete Don Jorge,Superete,Ruta Caimito,Caimito,Vereda San Pedro,Andrés Díaz,Águila Botella x30,Cerveza,4,68000,54000,0,68000.0,272000.0,216000,56000.0
V00003,2023-01-02,1,January,T1,Monday,C036,Minimercado El Vecino,Minimercado,Ruta Caimito,Caimito,Vereda Palo Alto,Andrés Díaz,Agua Cristal 600ml x24,Agua,8,22000,15000,0,22000.0,176000.0,120000,56000.0
V00004,2023-01-02,1,January,T1,Monday,C060,Tienda La Esquina,Tienda,Ruta La Unión,La Unión,Vereda El Carmen,Jhon Pérez,Águila Lata x30,Cerveza,3,72000,58000,0,72000.0,216000.0,174000,42000.0
V00005,2023-01-02,1,January,T1,Monday,C032,Minimercado Doña Carmen,Minimercado,Ruta Caimito,Caimito,Vereda Las Flores,Carlos Martínez,Costeña Litro x12,Cerveza,5,55000,43000,0,55000.0,275000.0,215000,60000.0
V00006,2023-01-02,1,January,T1,Monday,C010,Superete El Paisa,Superete,Ruta Caimito,Caimito,Vereda El Palmar,Andrés Díaz,Costeña Litro x12,Cerveza,9,55000,43000,5,52250.0,470250.0,387000,83250.0
V00007,2023-01-02,1,January,T1,Monday,C057,Bar/Estadero El Amigo,Bar/Estadero,Ruta La Unión,La Unión,Vereda El Carmen,Luis Hernández,Póker Lata x30,Cerveza,4,70000,56000,0,70000.0,280000.0,224000,56000.0
V00008,2023-01-02,1,January,T1,Monday,C104,Tienda El Rincón,Tienda,Ruta San Marcos,San Marcos,Vereda El Tesoro,Jhon Pérez,Águila Lata x30,Cerveza,10,72000,58000,5,68400.0,684000.0,580000,104000.0
V00009,2023-01-02,1,January,T1,Monday,C111,Superete La Pola,Superete,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Jhon Pérez,Electrolit x12,Electrolit,6,55000,40000,0,55000.0,330000.0,240000,90000.0
V00010,2023-01-02,1,January,T1,Monday,C110,Minimercado El Paisa,Minimercado,Ruta San Marcos,San Marcos,Barrio Nuevo Milenio,Luis Hernández,Malta Pony x30,Malta,8,48000,36000,2,47040.0,376320.0,288000,88320.0
