;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
Distribución porcentual de la población ocupada según el último nivel educativo logrado según CINE 11 AC;;;;;;;;
Total nacional;;;;;;;;
2007-2018;;;;;;;;
;;;;;;;;
Año;Ninguno;Educación básica primaria;Educación básica secundaria;Educación media;Educación técnica profesional y tecnológica;Educación superior;Posgrado;No informa
2007;21,5;28,2;6,4;26,7;5,6;7,8;2,8;1,0
2008;20,6;27,8;6,3;27,5;6,2;8,3;2,7;0,7
2009;21,6;28,2;6,2;27,6;6,3;7,2;2,6;0,4
2010;21,1;27,3;6,3;28,0;7,0;7,2;2,8;0,4
2011;20,1;27,1;6,4;28,4;7,7;6,9;2,9;0,4
2012;19,5;26,7;6,3;28,6;8,8;6,7;2,9;0,4
2013;18,7;25,4;6,1;29,1;10,0;7,1;3,2;0,4
2014;17,7;25,0;6,2;29,2;10,7;7,5;3,4;0,3
2015;17,1;24,7;6,2;30,5;10,7;7,2;3,3;0,3
2016;16,6;23,8;5,9;32,0;10,6;7,7;3,4;0,0
2017;16,0;23,7;5,7;32,4;10,7;8,0;3,6;0,0
2018;15,1;23,3;5,6;33,1;10,9;8,4;3,7;0,0
;;;;;;;;
Fuente: DANE - Gran Encuesta Integrada de Hogares;;;;;;;;
Nota: Datos expandidos con proyecciones de población, elaboradas con base en los resultados del censo 2005.;;;;;;;;
Nota: Toda variable cuya proporción respecto a la PEA sea menor al 10%, puede tener un error de muestreo superior al 5%, que es el nivel de calidad admisible para el DANE.;;;;;;;;
"Nota: Dentro de la categoría ""No informa"" se incluyen tanto las personas que no contestaron las preguntas del módulo de educación, como las observaciones no especificadas en algún nivel educativo.";;;;;;;;
"Nota: Para hacer comparables los niveles educativos según CINE11 con la serie se deben hacer las siguientes agregaciones:
Incluir en la categoría ""Secundaria"" a los niveles Educación básica secundaria y Educación media; 
Incluir en ""Superior"" a los niveles Educación técnica profesiona y tecnológica, educación superior y posgrado.";;;;;;;;
